CNT,TIME,TIME_TICK,FPOGX,FPOGY,FPOGS,FPOGD,FPOGID,FPOGV,LPOGX,LPOGY,LPOGV,RPOGX,RPOGY,RPOGV,BPOGX,BPOGY,BPOGV,LPCX,LPCY,LPD,LPS,LPV,RPCX,RPCY,RPD,RPS,RPV,LEYEX,LEYEY,LEYEZ,LEYEV,LPUPILD,LPUPILV,REYEX,REYEY,REYEZ,REYEV,RPUPILD,RPUPILV,CX,CY,CS,SKLHEADX,SKLHEADY,SKLHEADZ,SKLV,VIEWER_TIME_TICK
71562,130.16073,23301800332,0.599,0.36,129.485,0.676,647,1,0.573,0.367,1,0.576,0.4,0,0.573,0.367,1,1.#IO,1.#IO,35,1.061,1,1.#IO,1.#IO,35,0.96,0,-3.646,0.54,62.656,1,8.224,1,3.313,0.638,63.022,0,0,0,0.315,0.544,0,0,0,0,0,23301892514
71563,130.19297,23301875667,0.599,0.36,129.485,0.708,647,1,0.573,0.367,0,0.576,0.4,0,0.573,0.367,0,1.#IO,1.#IO,35,1.061,0,1.#IO,1.#IO,35,0.96,0,-3.646,0.54,62.656,0,0,0,3.313,0.638,63.022,0,0,0,0.315,0.544,0,0,0,0,0,23301950823
71564,130.20842,23301911786,0.599,0.36,129.485,0.723,647,1,0.573,0.367,0,0.576,0.4,0,0.573,0.367,0,1.#IO,1.#IO,35,1.061,0,1.#IO,1.#IO,35,0.96,0,-3.646,0.54,62.656,0,0,0,3.313,0.638,63.022,0,0,0,0.315,0.544,0,0,0,0,0,23301974132
71565,130.22446,23301949288,0.599,0.36,129.485,0.739,647,1,0.573,0.367,0,0.576,0.4,0,0.573,0.367,0,1.#IO,1.#IO,35,1.061,0,1.#IO,1.#IO,35,0.96,0,-3.646,0.54,62.656,0,0,0,3.313,0.638,63.022,0,0,0,0.315,0.544,0,0,0,0,0,23302153258
71566,130.29809,23302121383,0.592,0.367,129.485,0.739,647,0,0.573,0.367,0,0.576,0.4,0,0.573,0.367,0,1.#IO,1.#IO,35,1.061,0,1.#IO,1.#IO,35,0.96,0,-3.646,0.54,62.656,0,0,0,3.313,0.638,63.022,0,0,0,0.315,0.544,0,0,0,0,0,23302153894
71567,130.30171,23302129833,0.592,0.367,129.485,0.739,647,0,0.573,0.367,0,0.576,0.4,0,0.573,0.367,0,1.#IO,1.#IO,35,1.061,0,1.#IO,1.#IO,35,0.96,0,-3.646,0.54,62.656,0,0,0,3.313,0.638,63.022,0,0,0,0.315,0.544,0,0,0,0,0,23302175160
71568,130.31498,23302160860,0.592,0.367,129.485,0.739,647,0,0.573,0.367,0,0.576,0.4,0,0.573,0.367,0,1.#IO,1.#IO,35,1.061,0,1.#IO,1.#IO,35,0.96,0,-3.646,0.54,62.656,0,0,0,3.313,0.638,63.022,0,0,0,0.315,0.544,0,0,0,0,0,23302278658
71569,130.32381,23302181510,0,0,129.485,0.739,647,0,0.573,0.367,0,0.576,0.4,0,0.573,0.367,0,1.#IO,1.#IO,35,1.061,0,1.#IO,1.#IO,35,0.96,0,-3.646,0.54,62.656,0,0,0,3.313,0.638,63.022,0,0,0,0.315,0.544,0,0,0,0,0,23302394851
71570,130.39517,23302348289,0,0,129.485,0.739,647,0,0.573,0.367,0,0.576,0.4,0,0.573,0.367,0,1.#IO,1.#IO,35,1.061,0,1.#IO,1.#IO,35,0.96,0,-3.646,0.54,62.656,0,0,0,3.313,0.638,63.022,0,0,0,0.315,0.544,0,0,0,0,0,23302418369
71571,130.41195,23302387517,0,0,129.485,0.739,647,0,0.573,0.367,0,0.576,0.4,0,0.573,0.367,0,1.#IO,1.#IO,35,1.061,0,1.#IO,1.#IO,35,0.96,0,-3.646,0.54,62.656,0,0,0,3.313,0.638,63.022,0,0,0,0.315,0.544,0,0,0,0,0,23302418780
71572,130.4185,23302402835,0,0,129.485,0.739,647,0,0.573,0.367,0,0.576,0.4,0,0.573,0.367,0,1.#IO,1.#IO,35,1.061,0,1.#IO,1.#IO,35,0.96,0,-3.646,0.54,62.656,0,0,0,3.313,0.638,63.022,0,0,0,0.315,0.544,0,0,0,0,0,23302429926
71573,130.42302,23302413390,0,0,129.485,0.739,647,0,0.573,0.367,0,0.576,0.4,0,0.573,0.367,0,1.#IO,1.#IO,35,1.061,0,1.#IO,1.#IO,35,0.96,0,-3.646,0.54,62.656,0,0,0,3.313,0.638,63.022,0,0,0,0.315,0.544,0,0,0,0,0,23302570215
71574,130.43881,23302450288,0,0,129.485,0.739,647,0,0.573,0.367,0,0.576,0.4,0,0.573,0.367,0,1.#IO,1.#IO,35,1.061,0,1.#IO,1.#IO,35,0.96,0,-3.646,0.54,62.656,0,0,0,3.313,0.638,63.022,0,0,0,0.315,0.544,0,0,0,0,0,23302648060
71575,130.51251,23302622559,0,0,129.485,0.739,647,0,0.573,0.367,0,0.576,0.4,0,0.573,0.367,0,1.#IO,1.#IO,35,1.061,0,1.#IO,1.#IO,35,0.96,0,-3.646,0.54,62.656,0,0,0,3.313,0.638,63.022,0,0,0,0.315,0.544,0,0,0,0,0,23302698372
71576,130.52042,23302641055,0.306,0.211,129.485,0.739,647,0,0.622,0.367,1,0.601,0.48,1,0.612,0.423,1,1.#IO,1.#IO,34,1.061,1,1.#IO,1.#IO,35,0.927,1,-3.646,0.54,62.656,1,7.989,1,3.264,0.633,62.537,1,8.208,1,0.315,0.544,0,0,0,0,0,23302791244
71577,130.5376,23302681216,0.306,0.211,129.485,0.739,647,0,0.622,0.367,0,0.601,0.48,0,0.612,0.423,0,1.#IO,1.#IO,34,1.061,0,1.#IO,1.#IO,35,0.927,0,-3.646,0.54,62.656,0,0,0,3.264,0.633,62.537,0,0,0,0.315,0.544,0,0,0,0,0,23302835761
71578,130.58157,23302783971,0.612,0.423,129.485,0.739,647,0,0.622,0.367,0,0.601,0.48,0,0.612,0.423,0,1.#IO,1.#IO,34,1.061,0,1.#IO,1.#IO,35,0.927,0,-3.646,0.54,62.656,0,0,0,3.264,0.633,62.537,0,0,0,0.315,0.544,0,0,0,0,0,23303109122
71579,130.67861,23303010795,0.615,0.396,129.485,0.739,647,0,0.618,0.369,1,0.601,0.48,0,0.618,0.369,1,1.#IO,1.#IO,35,1.061,1,1.#IO,1.#IO,35,0.96,0,-3.646,0.54,62.656,1,8.224,1,3.264,0.633,62.537,0,0,0,0.315,0.544,0,0,0,0,0,23303120619
71580,130.7152,23303096318,0.615,0.384,129.485,0.739,647,0,0.617,0.362,1,0.601,0.48,0,0.617,0.362,1,1.#IO,1.#IO,35,1.061,1,1.#IO,1.#IO,35,0.96,0,-3.659,0.541,62.68,1,8.227,1,3.264,0.633,62.537,0,0,0,0.318,0.54,0,0,0,0,0,23303131445
71581,130.72435,23303117704,0.608,0.362,130.582,0.143,648,1,0.586,0.294,1,0.601,0.48,0,0.586,0.294,1,1.#IO,1.#IO,36,1.064,1,1.#IO,1.#IO,35,0.963,0,-3.659,0.541,62.68,1,8.462,1,3.264,0.633,62.537,0,0,0,0.318,0.54,0,0,0,0,0,23303845033
71582,130.79194,23303275699,0.597,0.368,130.582,0.21,648,1,0.552,0.388,1,0.601,0.48,0,0.552,0.388,1,1.#IO,1.#IO,35,1.067,1,1.#IO,1.#IO,35,0.966,0,-3.659,0.541,62.68,1,8.227,1,3.264,0.633,62.537,0,0,0,0.321,0.533,0,0,0,0,0,23304285839
71583,131.17389,23304168461,0.597,0.368,130.582,0.592,648,1,0.552,0.388,0,0.601,0.48,0,0.552,0.388,0,1.#IO,1.#IO,35,1.067,0,1.#IO,1.#IO,35,0.966,0,-3.659,0.541,62.68,0,0,0,3.264,0.633,62.537,0,0,0,0,0.192,0,0,0,0,0,23305983586
71584,131.92177,23305916532,0.597,0.368,130.582,1.34,648,1,0.552,0.388,0,0.601,0.48,0,0.552,0.388,0,1.#IO,1.#IO,35,1.067,0,1.#IO,1.#IO,35,0.966,0,-3.659,0.541,62.68,0,0,0,3.264,0.633,62.537,0,0,0,0,0.171,0,0,0,0,0,23306181659
71585,131.98849,23306072468,0.597,0.368,130.582,1.407,648,1,0.552,0.388,0,0.601,0.48,0,0.552,0.388,0,1.#IO,1.#IO,35,1.067,0,1.#IO,1.#IO,35,0.966,0,-3.659,0.541,62.68,0,0,0,3.264,0.633,62.537,0,0,0,0,0.141,0,0,0,0,0,23306727356
71586,132.03527,23306181828,0.593,0.353,130.582,1.407,648,0,0.552,0.388,0,0.601,0.48,0,0.552,0.388,0,1.#IO,1.#IO,35,1.067,0,1.#IO,1.#IO,35,0.966,0,-3.659,0.541,62.68,0,0,0,3.264,0.633,62.537,0,0,0,0,0.141,0,0,0,0,0,23306727743
71587,132.03992,23306192695,0.593,0.353,130.582,1.407,648,0,0.552,0.388,0,0.601,0.48,0,0.552,0.388,0,1.#IO,1.#IO,35,1.067,0,1.#IO,1.#IO,35,0.966,0,-3.659,0.541,62.68,0,0,0,3.264,0.633,62.537,0,0,0,0.044,0.166,0,0,0,0,0,23306728007
71588,132.1118,23306360689,0.593,0.353,130.582,1.407,648,0,0.552,0.388,0,0.601,0.48,0,0.552,0.388,0,1.#IO,1.#IO,35,1.067,0,1.#IO,1.#IO,35,0.966,0,-3.659,0.541,62.68,0,0,0,3.264,0.633,62.537,0,0,0,0.05,0.167,0,0,0,0,0,23306804558
71589,132.16443,23306483717,0,0,130.582,1.407,648,0,0.552,0.388,0,0.601,0.48,0,0.552,0.388,0,1.#IO,1.#IO,35,1.067,0,1.#IO,1.#IO,35,0.966,0,-3.659,0.541,62.68,0,0,0,3.264,0.633,62.537,0,0,0,0.167,0.087,0,0,0,0,0,23307866995
71590,132.74948,23307851206,0,0,130.582,1.407,648,0,0.552,0.388,0,0.601,0.48,0,0.552,0.388,0,1.#IO,1.#IO,35,1.067,0,1.#IO,1.#IO,35,0.966,0,-3.659,0.541,62.68,0,0,0,3.264,0.633,62.537,0,0,0,0.167,0.087,0,0,0,0,0,23307979320
71591,132.75336,23307860264,0,0,130.582,1.407,648,0,0.552,0.388,0,0.601,0.48,0,0.552,0.388,0,1.#IO,1.#IO,35,1.067,0,1.#IO,1.#IO,35,0.966,0,-3.659,0.541,62.68,0,0,0,3.264,0.633,62.537,0,0,0,0.178,0.082,0,0,0,0,0,23307979716
71592,132.78729,23307939578,0.644,0.303,130.582,1.407,648,0,0.644,0.303,1,0.601,0.48,0,0.644,0.303,1,1.#IO,1.#IO,35,1.07,1,1.#IO,1.#IO,35,0.968,0,-3.817,0.562,63.142,1,8.287,1,3.264,0.633,62.537,0,0,0,0.213,0.076,0,0,0,0,0,23307979984
71593,132.7944,23307956194,0.65,0.378,130.582,1.407,648,0,0.628,0.352,1,0.683,0.55,1,0.656,0.451,1,1.#IO,1.#IO,34,1.07,1,1.#IO,1.#IO,35,0.927,1,-3.817,0.562,63.142,1,8.051,1,3.094,0.69,61.824,1,8.114,1,0.222,0.074,0,0,0,0,0,23308028676
